volume#file_name#duration#file_size#file_size#video_format#video_bit_rate#frame_rate#hdr_format#mastering_display_color_primaries#mastering_display_luminance#max_fall#max_cll
WD2_5TB#John Wick_2_4K.mkv#02:02:23#71.15 GB#71.15 GB#HEVC#77947.27 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0000 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#John_Wick_1_4K.mkv#01:41:11#44.97 GB#44.97 GB#HEVC#57973.66 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0000 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#John_Wick_3_4K.mkv#02:10:46#68.95 GB#68.95 GB#HEVC#70784.70 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0010 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#Jumanji_4K.mkv#01:44:06#40.75 GB#40.75 GB#HEVC#51637.49 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##3938 cd/m2
WD2_5TB#Jumanji_Welcome_to_the_Jungle_4K.mkv#01:59:03#43.76 GB#43.76 GB#HEVC#46974.67 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##2013 cd/m2
WD2_5TB#Jurassic_Park_4K.mkv#02:06:27#50.92 GB#50.92 GB#HEVC#50868.08 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##910 cd/m2
WD2_5TB#Jurassic_Park_The_Lost_World_4K.mkv#02:08:39#52.66 GB#52.66 GB#HEVC#50880.87 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##929 cd/m2
WD2_5TB#Jurassic_World_4K.mkv#02:04:23#51.43 GB#51.43 GB#HEVC#54654.81 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#Jurassic_World_Fallen_Kingdom_4K.mkv#02:08:17#49.47 GB#49.47 GB#HEVC#49428.59 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#King_Kong_2005.mkv#03:20:07#30.95 GB#30.95 GB#VC-1#16325.72 Kbps#23.976#####
WD2_5TB#King_Kong_4K_2005.mkv#03:20:08#77.14 GB#77.14 GB#HEVC#46153.62 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#Kong_Skull_Island_3D.mkv#01:58:23#32.07 GB#32.07 GB#AVC#34876.50 Kbps#23.976#####
WD2_5TB#Kong_Skull_Island_4K.mkv#01:58:26#50.11 GB#50.11 GB#HEVC#51993.95 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##456 cd/m2
WD2_5TB#Matrix_4K.mkv#02:16:18#51.24 GB#51.24 GB#HEVC#48909.69 Kbps#23.976#SMPTE ST 2086#BT.2020#min: 0.0020 cd/m2, max: 1000 cd/m2##992 cd/m2
WD2_5TB#Matrix_Reloaded_4K.mkv#02:18:17#68.79 GB#68.79 GB#HEVC#67303.12 Kbps#23.976#SMPTE ST 2086#BT.2020#min: 0.0001 cd/m2, max: 1000 cd/m2##996 cd/m2
WD2_5TB#Matrix_Revolutions_4K.mkv#02:09:15#49.93 GB#49.93 GB#HEVC#51286.29 Kbps#23.976#SMPTE ST 2086#BT.2020#min: 0.0001 cd/m2, max: 1000 cd/m2##996 cd/m2
WD2_5TB#Mission_ Impossible_4_4K.mkv#02:12:55#49.35 GB#49.35 GB#HEVC#47971.05 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Mission_ Impossible_5_4K.mkv#02:11:33#49.02 GB#49.02 GB#HEVC#47663.26 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Mission_Impossible_1_4K.mkv#01:50:12#51.54 GB#51.54 GB#HEVC#62882.16 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Mission_Impossible_2_4K.mkv#02:03:35#50.55 GB#50.55 GB#HEVC#54329.15 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Mission_Impossible_3_4K.mkv#02:05:24#49.30 GB#49.30 GB#HEVC#52034.40 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Mission_Impossible_6_4K.mkv#02:27:24#76.60 GB#76.60 GB#HEVC#68457.82 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Pacific Rim Uprising_4K.mkv#01:50:44#63.15 GB#63.15 GB#HEVC#77072.63 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#Pacific Rim_4K.mkv#02:11:16#61.56 GB#61.56 GB#HEVC#61229.95 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##2465 cd/m2
WD2_5TB#Rampage_4K.mkv#01:47:16#50.39 GB#50.39 GB#HEVC#59587.28 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##494 cd/m2
WD2_5TB#Ready_Player_One_4K.mkv#02:19:57#69.00 GB#69.00 GB#HEVC#63027.74 Kbps#23.976#SMPTE ST 2086#BT.2020#min: 0.0050 cd/m2, max: 4000 cd/m2##725 cd/m2
WD2_5TB#Saving Private Ryan.mkv#02:49:26#75.87 GB#75.87 GB#HEVC#57917.31 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
